Year,GMSLV_in_mm_no_GIA,GMSLV_in_mm
1993.0115260,-38.78,-38.56
1993.0386920,-39.80,-39.09
1993.0658580,-39.65,-38.56
1993.0930250,-39.69,-38.32
1993.1201910,-38.78,-37.20
1993.1473570,-37.73,-35.98
1993.1745230,-36.87,-34.95
1993.2016890,-36.34,-34.21
1993.2288550,-36.13,-33.75
1993.2560210,-36.19,-33.53
1993.2831880,-36.44,-33.44
1993.3103540,-36.82,-33.48
1993.3375200,-37.27,-33.60
1993.3646860,-37.48,-33.54
1993.3918520,-37.74,-33.65
1993.4190180,-37.31,-33.24
1993.4461850,-36.93,-33.06
1993.4733510,-36.36,-32.90
1993.5005170,-35.87,-33.04
1993.5276830,-35.40,-33.39
1993.5548490,-34.76,-33.73
1993.5820150,-33.87,-33.93
1993.6091810,-32.86,-34.04
1993.6363480,-31.96,-34.23
1993.6635140,-31.14,-34.40
1993.6906800,-30.53,-34.61
1993.7178460,-30.11,-34.78
1993.7450120,-29.60,-34.62
1993.7721780,-29.42,-34.52
1993.7993450,-29.70,-34.61
1993.8265110,-30.44,-34.93
1993.8536770,-31.30,-35.18
1993.8808430,-31.84,-34.97
1993.9080090,-31.93,-34.26
1993.9351750,-31.75,-33.25
1993.9623410,-31.52,-32.23
1993.9895080,-31.74,-31.76
1994.0166740,-31.75,-31.19
1994.0438400,-31.98,-30.95
1994.0710060,-32.64,-31.25
1994.0981720,-33.42,-31.76
1994.1253380,-34.00,-32.15
1994.1525050,-34.06,-32.04
1994.1796710,-33.49,-31.28
1994.2068370,-32.59,-30.18
1994.2340030,-31.99,-29.32
1994.2611690,-32.03,-29.06
1994.2883350,-32.79,-29.48
1994.3155010,-33.38,-29.72
1994.3426680,-34.21,-30.23
1994.3698340,-34.67,-30.45
1994.3970000,-35.22,-30.89
1994.4241660,-35.29,-31.00
1994.4513320,-35.14,-31.09
1994.4784980,-34.80,-31.20
1994.5056640,-34.21,-31.27
1994.5328310,-33.36,-31.28
1994.5599970,-32.37,-31.30
1994.5871630,-31.31,-31.33
1994.6143290,-30.18,-31.33
1994.6414950,-29.09,-31.32
1994.6686610,-28.07,-31.25
1994.6958280,-27.05,-31.02
1994.7229940,-26.43,-30.95
1994.7501600,-26.01,-30.82
1994.7773260,-25.76,-30.60
1994.8044920,-25.80,-30.40
1994.8316580,-26.28,-30.42
1994.8588240,-27.12,-30.63
1994.8859910,-27.86,-30.61
1994.9131570,-28.04,-29.96
1994.9403230,-27.66,-28.76
1994.9674890,-27.05,-27.39
1994.9946550,-26.89,-26.54
1995.0218210,-26.93,-26.02
1995.0489880,-27.11,-25.75
1995.0761540,-27.95,-26.26
1995.1033200,-28.82,-26.88
1995.1304860,-29.35,-27.21
1995.1576520,-29.22,-26.91
1995.1848180,-29.13,-26.65
1995.2119840,-29.09,-26.39
1995.2391510,-29.44,-26.48
1995.2663170,-30.01,-26.73
1995.2934830,-30.56,-26.95
1995.3206490,-30.93,-26.97
1995.3478150,-31.28,-27.01
1995.3749810,-31.56,-27.06
1995.4021480,-31.62,-27.03
1995.4293140,-31.65,-27.15
1995.4564800,-31.75,-27.52
1995.4836460,-31.83,-28.09
1995.5108120,-31.44,-28.41
1995.5379780,-31.17,-29.03
1995.5651440,-30.32,-29.20
1995.5923110,-29.21,-29.21
1995.6194770,-27.69,-28.80
1995.6466430,-26.32,-28.49
1995.6738090,-24.94,-28.05
1995.7009750,-23.46,-27.31
1995.7281410,-23.13,-27.49
1995.7553070,-22.59,-27.19
1995.7824740,-23.03,-27.60
1995.8096400,-23.71,-28.00
1995.8368060,-24.32,-28.11
1995.8639720,-24.73,-27.86
1995.8911380,-25.02,-27.37
1995.9183040,-25.35,-26.89
1995.9454710,-26.13,-26.84
1995.9726370,-26.93,-26.89
1995.9998030,-27.80,-27.09
1996.0268950,-28.95,-27.71
1996.0539870,-29.83,-28.17
1996.0810790,-29.88,-27.90
1996.1081710,-30.03,-27.81
1996.1352630,-29.66,-27.26
1996.1623550,-29.46,-26.88
1996.1894470,-29.57,-26.80
1996.2165390,-29.89,-26.90
1996.2436310,-30.26,-27.00
1996.2707230,-30.42,-26.84
1996.2978150,-30.50,-26.58
1996.3249070,-30.51,-26.24
1996.3519980,-30.23,-25.68
1996.3790900,-29.90,-25.14
1996.4061820,-29.51,-24.68
1996.4332740,-28.99,-24.26
1996.4603660,-28.28,-23.87
1996.4874580,-27.42,-23.53
1996.5145500,-26.50,-23.34
1996.5416420,-25.61,-23.36
1996.5687340,-24.87,-23.65
1996.5958260,-24.44,-24.33
1996.6229180,-24.00,-25.00
1996.6500100,-23.66,-25.71
1996.6771020,-23.12,-26.08
1996.7041940,-22.31,-25.99
1996.7312850,-21.28,-25.43
1996.7583770,-20.13,-24.49
1996.7854690,-19.10,-23.41
1996.8125610,-18.65,-22.65
1996.8396530,-19.02,-22.50
1996.8667450,-20.08,-22.89
1996.8938370,-21.56,-23.59
1996.9209290,-23.21,-24.41
1996.9480210,-24.67,-25.06
1996.9751130,-26.19,-25.83
1997.0022110,-27.28,-26.29
1997.0293770,-28.01,-26.49
1997.0565430,-28.43,-26.49
1997.0837090,-28.67,-26.42
1997.1108750,-28.82,-26.33
1997.1380420,-28.84,-26.17
1997.1652080,-28.66,-25.82
1997.1923740,-28.28,-25.25
1997.2195400,-27.84,-24.58
1997.2467060,-27.66,-24.12
1997.2738720,-27.55,-23.69
1997.3010380,-27.54,-23.34
1997.3282050,-27.64,-23.10
1997.3553710,-27.63,-22.81
1997.3825370,-27.48,-22.46
1997.4097030,-27.03,-21.96
1997.4368690,-26.63,-21.70
1997.4640350,-25.81,-21.22
1997.4912020,-24.75,-20.71
1997.5183680,-23.52,-20.24
1997.5455340,-22.15,-19.79
1997.5727000,-20.54,-19.24
1997.5998660,-18.91,-18.73
1997.6270320,-17.24,-18.17
1997.6541980,-15.78,-17.75
1997.6813650,-14.56,-17.41
1997.7085310,-13.54,-17.06
1997.7356970,-12.81,-16.77
1997.7628630,-12.85,-16.98
1997.7900290,-12.74,-16.76
1997.8171950,-13.33,-17.01
1997.8443620,-14.18,-17.31
1997.8715280,-15.49,-17.92
1997.8986940,-16.63,-18.27
1997.9258600,-18.11,-18.93
1997.9530260,-19.62,-19.64
1997.9801920,-20.83,-20.12
1998.0073580,-21.63,-20.28
1998.0345250,-22.06,-20.21
1998.0616910,-22.31,-20.06
1998.0888570,-22.56,-20.02
1998.1160230,-22.82,-20.06
1998.1431890,-23.00,-20.06
1998.1703550,-23.05,-19.93
1998.1975210,-22.96,-19.65
1998.2246880,-22.96,-19.41
1998.2518540,-22.89,-19.06
1998.2790200,-23.18,-19.02
1998.3061860,-23.79,-19.29
1998.3333520,-24.74,-19.90
1998.3605180,-25.99,-20.88
1998.3876850,-27.13,-21.85
1998.4148510,-28.35,-23.07
1998.4420170,-28.82,-23.70
1998.4691830,-28.87,-24.12
1998.4963490,-28.71,-24.55
1998.5235150,-28.48,-25.12
1998.5506810,-28.09,-25.69
1998.5778480,-27.73,-26.40
1998.6050140,-26.88,-26.67
1998.6321800,-26.16,-27.05
1998.6593460,-25.30,-27.20
1998.6865120,-24.55,-27.30
1998.7136780,-23.96,-27.36
1998.7408450,-23.69,-27.46
1998.7680110,-23.30,-27.19
1998.7951770,-23.30,-27.04
1998.8223430,-23.61,-26.97
1998.8495090,-24.17,-26.94
1998.8766750,-24.83,-26.87
